frame_number,Possession,Passing,InPlay,Goals
29,0.9765625,0.640625,1,0.000261307
30,0.9765625,0.5703125,1,0.000261307
31,0.98046875,0.51171875,1,0.000261307
32,0.984375,0.45703125,1,0.000261307
33,0.984375,0.39453125,1,0.000261307
34,0.98828125,0.33398438,1,0.000261307
35,0.98828125,0.28515625,1,0.000246048
36,0.98828125,0.31835938,1,0.000246048
37,0.98828125,0.32617188,1,0.000246048
38,0.98828125,0.33007812,1,0.000246048
39,0.9921875,0.265625,1,0.000246048
40,0.9921875,0.22265625,1,0.000246048
41,0.9921875,0.19335938,1,0.000246048
42,0.9921875,0.13476562,1,0.000246048
43,0.99609375,0.091308594,1,0.000246048
44,0.99609375,0.06542969,1,0.000246048
45,0.99609375,0.08154297,1,0.000246048
46,0.99609375,0.095214844,1,0.000246048
47,0.99609375,0.10986328,1,0.000246048
48,0.99609375,0.12158203,1,0.000261307
49,0.99609375,0.140625,1,0.000278473
50,0.99609375,0.16601562,1,0.000295639
51,0.99609375,0.17285156,1,0.000314713
52,0.99609375,0.15527344,1,0.000356674
53,0.9921875,0.12158203,1,0.000417709
54,0.9921875,0.09667969,1,0.00050354
55,0.98828125,0.09423828,1,0.000553131
56,0.98828125,0.11425781,1,0.000534058
57,0.984375,0.171875,1,0.000488281
58,0.984375,0.23242188,1,0.000473022
59,0.98046875,0.27734375,1,0.000457764
60,0.984375,0.34570312,1,0.000417709
61,0.984375,0.46679688,1,0.000368118
62,0.98046875,0.5703125,1,0.000314713
63,0.97265625,0.64453125,1,0.000295639
64,0.96484375,0.671875,1,0.000295639
65,0.95703125,0.66796875,0.99609375,0.000295639
66,0.953125,0.71875,0.99609375,0.000278473
67,0.94140625,0.7734375,0.99609375,0.000246048
68,0.921875,0.8125,0.99609375,0.000230789
69,0.87109375,0.8515625,0.99609375,0.000190735
70,0.8671875,0.890625,0.99609375,0.0001688
71,0.875,0.921875,0.99609375,0.00015831
72,0.8515625,0.953125,1,0.000131607
73,0.7734375,0.97265625,1,0.000123024
74,0.796875,0.97265625,1,0.000123024
75,0.828125,0.97265625,1,0.000131607
76,0.796875,0.97265625,1,0.000123024
77,0.69140625,0.96875,1,0.000115871
78,0.59375,0.97265625,0.99609375,0.000108719
79,0.59375,0.96875,0.99609375,0.000108719
80,0.61328125,0.97265625,0.99609375,0.000108719
81,0.63671875,0.96484375,0.99609375,0.000115871
82,0.66015625,0.9609375,0.99609375,0.000123024
83,0.6953125,0.953125,0.99609375,0.000123024
84,0.7734375,0.94921875,0.99609375,0.000131607
85,0.8359375,0.94921875,0.99609375,0.00014019
86,0.86328125,0.9453125,0.99609375,0.000148773
87,0.87890625,0.92578125,0.99609375,0.00015831
88,0.89453125,0.90234375,0.99609375,0.0001688
89,0.9140625,0.8828125,0.99609375,0.0001688
90,0.91796875,0.85546875,0.99609375,0.0001688
91,0.91796875,0.8125,0.99609375,0.000190735
92,0.9140625,0.72265625,0.9921875,0.000216484
93,0.91796875,0.59375,0.9921875,0.000246048
94,0.91015625,0.453125,0.98828125,0.000295639
95,0.8984375,0.32421875,0.98046875,0.00034523
96,0.91796875,0.27929688,0.98046875,0.00034523
97,0.94140625,0.32226562,0.984375,0.000314713
98,0.96875,0.40429688,0.98828125,0.000295639
99,0.984375,0.453125,0.9921875,0.000314713
100,0.984375,0.49804688,0.9921875,0.000314713
101,0.984375,0.48632812,0.98828125,0.00034523
102,0.984375,0.47265625,0.98828125,0.00034523
103,0.98828125,0.45507812,0.98828125,0.000379562
104,0.98828125,0.48828125,0.98828125,0.000295639
105,0.98828125,0.41015625,0.984375,0.000335693
106,0.98828125,0.33984375,0.98046875,0.000356674
107,0.984375,0.28710938,0.97265625,0.000368118
108,0.98828125,0.22167969,0.96875,0.000431061
109,0.98828125,0.171875,0.96484375,0.000488281
110,0.9921875,0.14648438,0.97265625,0.000518799
111,0.99609375,0.14746094,0.98046875,0.000518799
112,0.99609375,0.17578125,0.98828125,0.000488281
113,1,0.20898438,0.9921875,0.000457764
114,1,0.2734375,0.99609375,0.000404358
115,1,0.33203125,0.99609375,0.000392914
116,1,0.38671875,0.99609375,0.000392914
117,1,0.41796875,0.99609375,0.000404358
118,1,0.4296875,0.99609375,0.000392914
119,1,0.41796875,0.99609375,0.000404358
120,1,0.3984375,0.99609375,0.000431061
121,1,0.36914062,0.99609375,0.000457764
122,1,0.34765625,0.99609375,0.000488281
123,1,0.3515625,0.99609375,0.00050354
124,1,0.34960938,0.99609375,0.000534058
125,1,0.33984375,0.99609375,0.000553131
126,1,0.31835938,0.99609375,0.000572205
127,1,0.31835938,0.99609375,0.000587463
128,1,0.31835938,1,0.000572205
129,1,0.29492188,0.99609375,0.000606537
130,1,0.26367188,1,0.000606537
131,1,0.23339844,1,0.000606537
132,1,0.22949219,1,0.000587463
133,1,0.28710938,1,0.000572205
134,1,0.37695312,1,0.000553131
135,1,0.43945312,1,0.000534058
136,1,0.46875,1,0.000572205
137,1,0.45703125,0.99609375,0.000606537
138,1,0.39648438,0.99609375,0.000667572
139,1,0.33789062,0.99609375,0.000709534
140,1,0.38476562,0.99609375,0.000667572
141,1,0.5,0.99609375,0.000587463
142,1,0.4921875,1,0.000553131
143,1,0.42578125,1,0.000553131
144,1,0.41210938,1,0.000534058
145,1,0.41796875,1,0.000534058
146,1,0.40820312,1,0.000488281
147,1,0.41015625,1,0.00050354
148,1,0.3671875,1,0.000534058
149,1,0.296875,1,0.000587463
150,1,0.25585938,1,0.00062561
151,1,0.24121094,1,0.000606537
152,1,0.25195312,1,0.000587463
153,1,0.2890625,1,0.000553131
154,1,0.31835938,1,0.000534058
155,1,0.34375,1,0.000518799
156,1,0.359375,1,0.00050354
157,1,0.39453125,1,0.00050354
158,1,0.41992188,1,0.00050354
159,1,0.4765625,1,0.000488281
160,1,0.5859375,1,0.000473022
161,1,0.6875,1,0.000444412
162,1,0.765625,1,0.000444412
163,1,0.7734375,1,0.000488281
164,1,0.6953125,0.99609375,0.000572205
165,0.99609375,0.54296875,0.99609375,0.000709534
166,0.99609375,0.359375,0.99609375,0.000881195
167,0.99609375,0.20605469,0.9921875,0.001098633
168,0.99609375,0.122558594,0.9921875,0.001327515
169,0.99609375,0.08251953,0.98828125,0.001502991
170,0.99609375,0.06640625,0.984375,0.001594544
171,0.99609375,0.07910156,0.984375,0.001365662
172,0.99609375,0.15136719,0.9921875,0.000999451
173,0.9921875,0.34960938,0.99609375,0.000709534
174,0.9921875,0.5546875,0.99609375,0.000587463
175,0.9921875,0.7734375,0.99609375,0.000457764
176,0.98828125,0.8984375,0.99609375,0.000379562
177,0.984375,0.9453125,0.99609375,0.000335693
178,0.98046875,0.96484375,1,0.000295639
179,0.97265625,0.9765625,1,0.000278473
180,0.96484375,0.984375,1,0.000261307
181,0.9609375,0.984375,1,0.000246048
182,0.9609375,0.98046875,1,0.000230789
183,0.9609375,0.9765625,1,0.000216484
184,0.953125,0.96875,1,0.000216484
185,0.94140625,0.96484375,1,0.000190735
186,0.9140625,0.96484375,1,0.000179291
187,0.875,0.96484375,1,0.0001688
188,0.81640625,0.96484375,1,0.0001688
189,0.65234375,0.95703125,1,0.00015831
190,0.37890625,0.94921875,1,0.000148773
191,0.08496094,0.9296875,1,0.00015831
192,0.04272461,0.8984375,1,0.000179291
193,0.029296875,0.85546875,1,0.000190735
194,0.025146484,0.8046875,1,0.000203133
195,0.02368164,0.77734375,1,0.000203133
196,0.02758789,0.78515625,1,0.000190735
197,0.036132812,0.8203125,1,0.000179291
198,0.06738281,0.87109375,1,0.00015831
199,0.12109375,0.8984375,1,0.00014019
200,0.203125,0.90625,1,0.000131607
201,0.28710938,0.9140625,1,0.000123024
202,0.34179688,0.92578125,1,0.000123024
203,0.38867188,0.9375,1,0.000123024
204,0.45898438,0.9453125,1,0.000131607
205,0.609375,0.9375,1,0.00014019
206,0.70703125,0.92578125,1,0.000148773
207,0.80859375,0.91015625,1,0.00015831
208,0.8671875,0.8828125,1,0.0001688
209,0.90234375,0.84765625,1,0.0001688
210,0.9609375,0.75,1,0.0001688
211,0.9765625,0.6171875,1,0.00015831
212,0.9765625,0.58984375,1,0.00015831
213,0.98046875,0.6328125,1,0.000148773
214,0.984375,0.65625,1,0.000148773
215,0.98828125,0.66796875,1,0.00015831
216,0.9921875,0.69921875,1,0.00015831
217,0.9921875,0.765625,1,0.000179291
218,0.99609375,0.7890625,1,0.000203133
219,0.99609375,0.78515625,1,0.000246048
220,0.99609375,0.74609375,1,0.000278473
221,0.99609375,0.71484375,1,0.000295639
222,0.99609375,0.6875,1,0.000335693
223,1,0.69140625,1,0.000335693
224,1,0.67578125,1,0.000356674
225,1,0.671875,1,0.000368118
226,1,0.55078125,1,0.000417709
227,1,0.38671875,1,0.000473022
228,1,0.31445312,1,0.00050354
229,1,0.23632812,0.99609375,0.000587463
230,1,0.15332031,0.99609375,0.00075531
231,0.99609375,0.099609375,0.99609375,0.000938416
232,0.99609375,0.056640625,0.9921875,0.001411438
233,0.99609375,0.03112793,0.984375,0.002182007
234,0.99609375,0.016967773,0.96875,0.003601074
235,0.9921875,0.010681152,0.9375,0.00592041
236,0.9921875,0.007354736,0.8828125,0.009399414
237,0.98828125,0.00592041,0.7734375,0.017456055
238,0.984375,0.005218506,0.60546875,0.031982422
239,0.984375,0.005218506,0.4296875,0.055908203
240,0.98046875,0.005371094,0.27539062,0.09277344
241,0.9765625,0.006103516,0.17578125,0.14550781
242,0.97265625,0.007568359,0.11767578,0.22265625
243,0.96875,0.009399414,0.08496094,0.3125
244,0.96484375,0.011657715,0.068359375,0.3984375
245,0.9609375,0.014038086,0.059326172,0.4765625
246,0.95703125,0.016967773,0.051757812,0.53125
247,0.953125,0.020385742,0.048828125,0.57421875
248,0.9453125,0.024047852,0.048095703,0.59375
249,0.9296875,0.02758789,0.048095703,0.59375
250,0.8984375,0.030273438,0.04663086,0.5234375
251,0.8203125,0.033203125,0.044677734,0.37304688
252,0.74609375,0.03564453,0.046142578,0.30664062
253,0.61328125,0.03564453,0.043945312,0.18457031
254,0.45117188,0.033203125,0.03955078,0.103515625
255,0.29296875,0.027954102,0.03515625,0.052734375
256,0.15527344,0.020629883,0.028442383,0.022338867
257,0.08251953,0.01586914,0.024047852,0.012023926
258,0.05834961,0.014526367,0.022949219,0.009155273
259,0.048828125,0.01361084,0.022338867,0.008056641
260,0.04272461,0.013244629,0.022583008,0.006896973
261,0.037353516,0.01361084,0.02331543,0.00592041
262,0.033203125,0.014526367,0.026367188,0.00491333
263,0.029296875,0.016357422,0.03112793,0.003829956
264,0.025512695,0.016967773,0.034179688,0.003173828
265,0.022583008,0.016357422,0.034179688,0.002883911
266,0.01977539,0.016357422,0.03857422,0.002258301
267,0.017456055,0.016967773,0.04272461,0.001930237
268,0.015441895,0.019165039,0.05102539,0.001548767
269,0.014038086,0.022338867,0.06347656,0.001243591
270,0.012451172,0.02368164,0.07373047,0.001098633
271,0.012451172,0.028930664,0.09667969,0.000854492
272,0.012023926,0.03857422,0.13769531,0.000667572
273,0.014526367,0.05493164,0.22558594,0.000488281
274,0.017944336,0.080566406,0.35742188,0.000356674
275,0.022949219,0.11767578,0.53515625,0.000261307
276,0.04663086,0.18164062,0.7578125,0.0001688
277,0.13085938,0.31835938,0.93359375,0.00010252
278,0.24902344,0.49023438,0.9765625,7.00951E-05
279,0.3984375,0.6640625,0.9921875,5.48363E-05
280,0.43359375,0.7421875,0.99609375,5.14984E-05
281,0.4140625,0.75390625,0.99609375,5.14984E-05
282,0.37109375,0.73828125,0.99609375,5.48363E-05
283,0.45898438,0.7421875,1,5.14984E-05
284,0.66015625,0.6796875,1,5.48363E-05
285,0.89453125,0.44726562,1,6.19888E-05
286,0.96484375,0.2890625,1,7.48634E-05
287,0.984375,0.20605469,1,9.01222E-05
288,0.98828125,0.23046875,1,0.00010252
289,0.98828125,0.30273438,1,0.00010252
290,0.98828125,0.37890625,1,0.000115871
291,0.9921875,0.50390625,1,0.000123024
292,0.9921875,0.6171875,1,0.00014019
293,0.9921875,0.6953125,1,0.00015831
294,0.99609375,0.578125,1,0.000179291
295,0.99609375,0.578125,1,0.000190735
296,0.99609375,0.640625,1,0.000216484
297,0.99609375,0.63671875,1,0.000230789
298,0.99609375,0.69921875,1,0.000246048
299,0.99609375,0.75390625,1,0.000261307
300,0.99609375,0.734375,1,0.000278473
301,0.99609375,0.671875,1,0.000295639
302,0.99609375,0.65625,1,0.000295639
303,1,0.48828125,1,0.000314713
304,1,0.44921875,1,0.000335693
305,0.99609375,0.453125,1,0.000335693
306,0.99609375,0.4765625,1,0.000335693
307,1,0.44335938,1,0.000335693
308,1,0.41992188,1,0.000335693
309,0.99609375,0.52734375,1,0.000335693
310,0.99609375,0.625,1,0.000335693
311,0.99609375,0.703125,1,0.000314713
312,0.99609375,0.58203125,1,0.00034523
313,0.99609375,0.5859375,1,0.00034523
314,1,0.45117188,1,0.000356674
315,1,0.43359375,1,0.000356674
316,1,0.31835938,1,0.000368118
317,1,0.22265625,1,0.000379562
318,1,0.18847656,1,0.000392914
319,1,0.2578125,1,0.000392914
320,1,0.29101562,1,0.000392914
321,1,0.37890625,1,0.000368118
322,0.99609375,0.4921875,1,0.000356674
323,0.99609375,0.59375,1,0.000335693
324,0.99609375,0.6015625,1,0.000335693
325,0.99609375,0.62890625,1,0.000335693
326,0.99609375,0.56640625,1,0.000335693
327,0.99609375,0.50390625,1,0.000335693
328,0.99609375,0.5234375,1,0.000335693
329,0.99609375,0.5703125,1,0.000335693
330,0.99609375,0.56640625,1,0.000335693
331,0.99609375,0.53515625,1,0.000335693
332,0.99609375,0.5078125,1,0.000335693
333,1,0.3984375,1,0.00034523
334,1,0.30078125,1,0.000356674
335,1,0.23339844,1,0.000368118
336,1,0.20605469,1,0.000368118
337,1,0.20703125,1,0.000379562
338,1,0.24902344,1,0.000379562
339,1,0.23828125,1,0.000368118
340,1,0.25,1,0.000368118
341,1,0.25976562,1,0.000379562
342,1,0.2109375,1,0.000379562
343,1,0.2109375,1,0.000379562
344,1,0.21777344,1,0.000368118
345,1,0.17675781,1,0.000379562
346,1,0.14257812,1,0.000379562
347,1,0.11767578,1,0.000379562
348,1,0.119140625,1,0.000379562
349,1,0.15429688,1,0.000392914
350,1,0.18945312,1,0.000368118
351,1,0.23339844,1,0.000356674
352,1,0.25976562,1,0.00034523
353,1,0.2734375,1,0.00034523
354,1,0.28710938,1,0.00034523
355,1,0.2109375,1,0.00034523
356,1,0.14941406,1,0.000368118
357,1,0.12402344,1,0.000379562
358,1,0.10839844,1,0.000392914
359,1,0.103515625,1,0.000417709
360,1,0.12109375,1,0.000431061
361,1,0.10253906,1,0.000431061
362,1,0.119140625,1,0.000431061
363,1,0.13378906,1,0.000431061
364,1,0.16113281,1,0.000417709
365,1,0.19335938,1,0.000404358
366,1,0.1640625,1,0.000404358
367,1,0.17480469,1,0.000417709
368,1,0.14746094,1,0.000417709
369,1,0.11425781,1,0.000404358
370,1,0.09814453,1,0.000404358
371,1,0.087402344,1,0.000404358
372,1,0.080566406,1,0.000404358
373,1,0.09033203,1,0.000404358
374,1,0.12158203,1,0.000379562
375,1,0.16308594,1,0.00034523
376,0.99609375,0.22265625,1,0.000314713
377,0.99609375,0.3125,1,0.000314713
378,0.99609375,0.41796875,1,0.000314713
379,0.99609375,0.55078125,1,0.000314713
380,0.9921875,0.6875,1,0.000314713
381,0.98828125,0.77734375,1,0.000335693
382,0.984375,0.8125,1,0.000335693
383,0.984375,0.8203125,1,0.000335693
384,0.9765625,0.82421875,1,0.000335693
385,0.97265625,0.8125,1,0.000314713
386,0.9609375,0.78515625,1,0.000314713
387,0.953125,0.76171875,1,0.000295639
388,0.94140625,0.7421875,1,0.000295639
389,0.92578125,0.73046875,1,0.000295639
